Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"March 4, 2023","March 4, 2023",Run,475,4.00245,2548,10.6102,0.523816,5.65495,114.544,,7102,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7137741538
"Feb. 28, 2023","Feb. 28, 2023",Run,358,3.00769,1929,10.6885,0.0427597,5.61351,1403.19,0,5257,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7130717965
"Feb. 18, 2023","Feb. 18, 2023",Run,360,3.0,1970,10.9444,0,5.48223,0,,5253,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7113049447
"Jan. 22, 2023","Jan. 22, 2023",Run,1499,13.184,7526,9.51406,1.30822,6.30646,45.8637,,18594,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7065005653
"Jan. 15, 2023","Jan. 15, 2023",Run,1181,10.0166,6277,10.4443,1.00337,5.74474,59.7987,,15728,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7052935627
"Jan. 8, 2023","Jan. 8, 2023",Run,936,8.03403,4882,10.1278,0.434417,5.92432,138.116,,13629,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7040496322
"Jan. 2, 2023","Jan. 2, 2023",Run,1189,10.01,6392,10.6427,0.455004,5.63767,131.867,,17148,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7029881353
"Dec. 26, 2022","Dec. 26, 2022",Run,991,8.28686,5378,10.8163,0.508531,5.54717,117.987,,15448,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7019086231
"Dec. 24, 2022","Dec. 24, 2022",Run,580,5.0,3012,10.04,0,5.9761,0,,8106,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7017067807
"Dec. 20, 2022","Dec. 20, 2022",Run,824,7.02,4346,10.3181,0,5.815,0,,11661,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7012333099
"Dec. 15, 2022","Dec. 15, 2022",Run,471,4.01,2489,10.345,0,5.79992,0,,6677,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7006359382
"Dec. 10, 2022","Dec. 10, 2022",Run,779,6.49997,4238,10.8667,1.02318,5.52145,58.6407,,11304,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7000097974
"Dec. 6, 2022","Dec. 6, 2022",Run,585,5.00365,3066,10.2125,0.465271,5.87513,128.957,,7994,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6994232698
"Dec. 3, 2022","Dec. 3, 2022",Run,596,5.01267,3204,10.653,0.459671,5.63221,130.528,,8432,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6989970631
"Dec. 1, 2022","Dec. 1, 2022",Run,366,3.01,2032,11.2514,0,5.33268,0,,5403,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6986904472
"Nov. 29, 2022","Nov. 29, 2022",Run,358,3.01,1932,10.6977,1.36227,5.6087,44.0441,,3530,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6984170281
"Nov. 24, 2022","Nov. 24, 2022",Run,575,4.73698,3182,11.1956,1.45282,5.35925,41.2991,,8548,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6976571131
"Nov. 22, 2022","Nov. 22, 2022",Run,232,2.01,1194,9.9005,1.85877,6.0603,32.2794,,3193,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6973335199
"Nov. 18, 2022","Nov. 18, 2022",Run,173,1.50059,885,9.82947,0.415985,6.10409,144.236,,1733,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6967587778
"Nov. 16, 2022","Nov. 16, 2022",Run,244,2.02,1338,11.0396,0,5.43498,0,,3565,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6964573906
"Nov. 13, 2022","Nov. 13, 2022",Run,385,3.26198,2044,10.4436,0.386451,5.74517,155.259,,4237,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6959978155
"Sept. 19, 2022","Sept. 19, 2022",Run,298,2.49975,1607,10.7144,0.520197,5.59994,115.341,,4063,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6855934120
"Sept. 4, 2022","Sept. 4, 2022",Run,598,4.99562,3249,10.8395,0.534554,5.53531,112.243,,8352,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6825145045
"Aug. 26, 2022","Aug. 26, 2022",Run,546,4.59,2941,10.679,0.538629,5.6185,111.394,,7740,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6805529974
"Aug. 22, 2022","Aug. 22, 2022",Run,355,2.99972,1898,10.5417,0.529672,5.69167,113.278,0,4599,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6796324741
